"TOT_CAPI","LATITUDINE","LONGITUDINE","COMUNE"
6,40.63799,14.560184,"Agerola"
53,40.636476,14.550206,"Agerola"
5,40.634529,14.537009,"Agerola"
40,40.629098,14.572815,"Agerola"
3,40.6283,14.5651,"Agerola"
18,40.637079,14.540741,"Agerola"
3,40.628915,14.570895,"Agerola"
23,40.640701,14.532859,"Agerola"
31,40.645481,14.539822,"Agerola"
3,40.6349,14.5471,"Agerola"
6,40.628976,14.569806,"Agerola"
27,40.639485,14.537166,"Agerola"
12,40.63811,14.53506,"Agerola"
10,40.643001,14.534093,"Agerola"
25,40.6246,14.5439,"Agerola"
1,40.628007,14.521238,"Agerola"
23,40.638485,14.558902,"Agerola"
1,40.638698,14.559506,"Agerola"
3,40.634976,14.549126,"Agerola"
4,40.629,14.533,"Agerola"
20,40.627328,14.535647,"Agerola"
13,40.641786,14.534994,"Agerola"
23,40.625337,14.570628,"Agerola"
7,40.626505,14.5725,"Agerola"
10,40.626274,14.572415,"Agerola"
5,40.641686,14.554255,"Agerola"
6,40.643919,14.546517,"Agerola"
53,40.6339,14.5552,"Agerola"
6,40.641862,14.538248,"Agerola"
2,40.634495,14.536899,"Agerola"
20,40.683603,14.494556,"Castellammare Di Stabia"
18,40.692517,14.506493,"Gragnano"
13,40.699073,14.521058,"Gragnano"
65,40.716199,14.545422,"Lettere"
2,40.593265,14.340994,"Massa Lubrense"
47,40.59829,14.34408,"Massa Lubrense"
1,40.599882,14.372849,"Massa Lubrense"
5,40.60787,14.36523,"Massa Lubrense"
3,40.593888,14.35824,"Massa Lubrense"
2,40.593087,14.363141,"Massa Lubrense"
3,40.585109,14.359387,"Massa Lubrense"
4,40.593749,14.35756,"Massa Lubrense"
9,40.61535,14.349678,"Massa Lubrense"
5,40.599247,14.348205,"Massa Lubrense"
6,40.59378,14.357831,"Massa Lubrense"
4,40.605833,14.36,"Massa Lubrense"
2,40.61019,14.34778,"Massa Lubrense"
7,40.59357,14.359694,"Massa Lubrense"
5,40.62664,14.40972,"Piano Di Sorrento"
30,40.62316,14.41245,"Piano Di Sorrento"
13,40.62181,14.41157,"Piano Di Sorrento"
70,40.616933,14.433633,"Piano Di Sorrento"
19,40.6223,14.41756,"Piano Di Sorrento"
5,40.62184,14.41513,"Piano Di Sorrento"
7,40.61574,14.43127,"Piano Di Sorrento"
14,40.62427,14.41695,"Piano Di Sorrento"
2,40.62051,14.41328,"Piano Di Sorrento"
12,40.665587,14.525433,"Pimonte"
0,40.675208,14.51176,"Pimonte"
10,40.676682,14.510473,"Pimonte"
6,40.67523,14.516294,"Pimonte"
8,40.675886,14.513497,"Pimonte"
18,40.667647,14.520233,"Pimonte"
37,40.753357,14.50118,"Pompei"
2,40.735172,14.50058,"Pompei"
18,40.75306,14.501307,"Pompei"
10,40.7313,14.495,"Pompei"
4,40.736805,14.489766,"Pompei"
57,40.61998,14.40943,"Sant'Agnello"
8,40.6124,14.40835,"Sant'Agnello"
7,40.6167,14.40623,"Sant'Agnello"
9,40.61342,14.41287,"Sant'Agnello"
6,40.6267,14.3982,"Sant'Agnello"
34,40.61423,14.40206,"Sant'Agnello"
54,40.714417,14.534095,"Sant'Antonio Abate"
40,40.6139,14.3956,"Sorrento"
10,40.61939,14.38043,"Sorrento"
5,40.60948,14.38638,"Sorrento"
33,40.60223,14.39876,"Sorrento"
8,40.622,14.37667,"Sorrento"
16,40.61427,14.38835,"Sorrento"
1,40.61608,14.38675,"Sorrento"
15,40.62632,14.37573,"Sorrento"
33,40.61871,14.38316,"Sorrento"
8,40.62578,14.39336,"Sorrento"
120,40.6427,14.4566,"Vico Equense"
44,40.6327,14.4349,"Vico Equense"
32,40.660783,14.443133,"Vico Equense"
36,40.6517,14.4204,"Vico Equense"
2,40.64266,14.42657,"Vico Equense"
4,40.6618,14.4426,"Vico Equense"
6,40.6561,14.4508,"Vico Equense"
38,40.633333,14.432777,"Vico Equense"
35,40.652,14.4248,"Vico Equense"
17,40.6528,14.4292,"Vico Equense"
40,40.651666,14.453333,"Vico Equense"
5,40.651666,14.453333,"Vico Equense"
21,40.6621,14.455,"Vico Equense"
17,40.663483,14.440816,"Vico Equense"
29,40.6518,14.4193,"Vico Equense"
0,40.6567,14.4516,"Vico Equense"
29,40.6493,14.4523,"Vico Equense"
46,40.636266,14.439866,"Vico Equense"
4,40.6511,14.4508,"Vico Equense"
4,40.6509,14.4509,"Vico Equense"
4,40.6623,14.4415,"Vico Equense"
12,40.63856,14.47772,"Vico Equense"
11,40.6282,14.4455,"Vico Equense"
10,40.6393,14.4425,"Vico Equense"
3,40.6319,14.4427,"Vico Equense"
7,40.6472,14.4239,"Vico Equense"
28,40.6534,14.4235,"Vico Equense"
4,40.636944,14.436111,"Vico Equense"
21,40.664783,14.440866,"Vico Equense"
30,40.6651,14.4498,"Vico Equense"
14,40.65467,14.44894,"Vico Equense"
5,40.651111,14.457222,"Vico Equense"
22,40.6669,14.4463,"Vico Equense"
30,40.6586,14.456,"Vico Equense"
5,40.6496,14.4521,"Vico Equense"
6,40.65046,14.461,"Vico Equense"
95,40.654166,14.465,"Vico Equense"
110,40.657497,14.443338,"Vico Equense"
4,40.6589,14.4563,"Vico Equense"
12,40.648888,14.467222,"Vico Equense"
24,40.648888,14.467222,"Vico Equense"
12,40.65705,14.438642,"Vico Equense"
7,40.65805,14.437133,"Vico Equense"
7,40.6577,14.44,"Vico Equense"
3,40.65,14.464444,"Vico Equense"
90,40.655321,14.448131,"Vico Equense"
5,40.66347,14.458249,"Vico Equense"
50,40.71947,14.50866,"Santa Maria La Carita'"
